Discriminator ID,Birth,Death
0,0,0,1009
1,1,2,1143
2,2,3,1004
3,3,5,1006
4,4,9,1048
5,5,10,1014
6,6,11,1268
7,7,12,1030
8,8,14,1027
9,9,15,1061
10,10,16,1017
11,11,18,1085
12,12,21,1022
13,13,27,1028
14,14,28,1145
15,15,30,1051
16,16,35,1245
17,17,38,1039
18,18,39,1188
19,19,40,1041
20,20,41,1042
21,21,43,1056
22,22,44,1045
23,23,52,1053
24,24,53,1057
25,25,61,1062
26,26,62,1069
27,27,64,1067
28,28,67,1074
29,29,69,1103
30,30,70,1071
31,31,71,1473
32,32,72,1104
33,33,74,1150
34,34,76,1080
35,35,77,1078
36,36,80,1089
37,37,81,1082
38,38,82,1083
39,39,83,1096
40,40,85,1109
41,41,86,1087
42,42,87,1098
43,43,89,1132
44,44,90,1119
45,45,91,1092
46,46,92,1093
47,47,93,1097
48,48,94,1101
49,49,98,1099
50,50,104,1106
51,51,106,1122
52,52,107,1300
53,53,109,1110
54,54,110,2098
55,55,111,1112
56,56,112,1113
57,57,113,1121
58,58,117,1240
59,59,119,1120
60,60,122,1123
61,61,123,1124
62,62,124,1125
63,63,125,1200
64,64,126,1127
65,65,127,1154
66,66,128,1129
67,67,130,1470
68,68,132,1133
69,69,134,1135
70,70,135,1136
71,71,137,1176
72,72,139,1203
73,73,140,1141
74,74,141,1142
75,75,143,1178
76,76,145,1146
77,77,146,1147
78,78,147,1155
79,79,148,1158
80,80,150,2568
81,81,155,1156
82,82,156,1157
83,83,158,1159
84,84,159,1210
85,85,160,1872
86,86,161,1162
87,87,162,1163
88,88,164,1997
89,89,165,2314
90,90,166,1167
91,91,167,1168
92,92,168,1205
93,93,170,1423
94,94,171,1172
95,95,172,1173
96,96,173,1174
97,97,174,1175
98,98,176,1177
99,99,178,1410
100,100,179,1202
101,101,180,1181
102,102,181,1182
103,103,182,1183
104,104,183,1290
105,105,184,1185
106,106,185,1194
107,107,186,1187
108,108,188,1189
109,109,189,1190
110,110,190,2341
111,111,191,1230
112,112,192,1193
113,113,196,1197
114,114,197,1198
115,115,198,1311
116,116,200,1201
117,117,203,1204
118,118,205,1241
119,119,206,1955
120,120,207,1208
121,121,208,1209
122,122,210,1211
123,123,211,1254
124,124,212,1214
125,125,214,1215
126,126,215,1216
127,127,216,1915
128,128,217,1218
129,129,218,1219
130,130,219,1220
131,131,220,1221
132,132,221,1222
133,133,223,1553
134,134,224,1225
135,135,225,1226
136,136,226,1227
137,137,228,1229
138,138,230,1334
139,139,231,1520
140,140,233,1234
141,141,234,1235
142,142,235,1239
143,143,236,1237
144,144,237,1238
145,145,241,1242
146,146,242,1243
147,147,243,1257
148,148,245,1255
149,149,246,1247
150,150,247,1248
151,151,248,1259
152,152,249,1250
153,153,250,1251
154,154,251,2218
155,155,255,1256
156,156,257,1258
157,157,259,2235
158,158,260,1261
159,159,261,1749
160,160,262,1344
161,161,263,1777
162,162,264,1265
163,163,265,2187
164,164,266,1267
165,165,268,1269
166,166,269,1327
167,167,270,1280
168,168,271,1272
169,169,272,1303
170,170,274,2763
171,171,275,1276
172,172,276,1278
173,173,278,1279
174,174,280,1315
175,175,281,1338
176,176,282,2818
177,177,283,1284
178,178,284,1299
179,179,286,1287
180,180,287,1293
181,181,288,1289
182,182,290,1306
183,183,291,1578
184,184,293,1355
185,185,294,1449
186,186,295,1296
187,187,296,1326
188,188,297,1314
189,189,300,1301
190,190,303,1304
191,191,304,1312
192,192,308,1376
193,193,312,1313
194,194,315,1401
195,195,316,1720
196,196,317,1318
197,197,319,1606
198,198,320,1529
199,199,321,1389
200,200,322,2140
201,201,327,2773
202,202,328,1329
203,203,329,1330
204,204,330,1371
205,205,331,1332
206,206,332,1333
207,207,334,1335
208,208,335,1347
209,209,336,1557
210,210,340,1341
211,211,342,1496
212,212,345,1795
213,213,347,1677
214,214,349,1454
215,215,350,1703
216,216,351,1352
217,217,352,1356
218,218,356,1357
219,219,357,1358
220,220,358,1359
221,221,359,1841
222,222,361,1499
223,223,362,1791
224,224,363,1364
225,225,364,1365
226,226,365,1366
227,227,366,1556
228,228,367,1368
229,229,368,1495
230,230,369,1433
231,231,371,1372
232,232,372,1373
233,233,373,1380
234,234,376,1377
235,235,377,1948
236,236,378,2527
237,237,382,1469
238,238,383,1967
239,239,384,1405
240,240,386,1425
241,241,387,1428
242,242,397,1928
243,243,398,1416
244,244,399,1408
245,245,401,2046
246,246,402,2101
247,247,406,1407
248,248,410,1431
249,249,412,1962
250,250,414,1415
251,251,416,1417
252,252,417,1929
253,253,421,1441
254,254,423,1424
255,255,428,1438
256,256,439,1584
257,257,441,1442
258,258,442,1941
259,259,443,1444
260,260,444,1445
261,261,446,1492
262,262,447,1491
263,263,449,1450
264,264,452,1453
265,265,454,1455
266,266,455,2001
267,267,456,1563
268,268,457,1825
269,269,458,2780
270,270,459,1460
271,271,461,1462
272,272,463,1472
273,273,464,1526
274,274,465,1548
275,275,466,1467
276,276,474,1475
277,277,475,1952
278,278,477,1487
279,279,478,1479
280,280,479,1715
281,281,480,1481
282,282,481,1482
283,283,482,1484
284,284,484,1485
285,285,485,1486
286,286,487,1489
287,287,489,1490
288,288,492,1493
289,289,493,1494
290,290,496,1537
291,291,497,1498
292,292,499,1500
293,293,500,3778
294,294,501,1514
295,295,502,1503
296,296,503,2052
297,297,504,1505
298,298,505,1506
299,299,506,1513
300,300,508,1509
301,301,509,1806
302,302,510,1511
303,303,514,1517
304,304,515,1516
305,305,517,1518
306,306,518,1519
307,307,520,1521
308,308,521,1522
309,309,522,1686
310,310,523,2624
311,311,524,1534
312,312,531,1669
313,313,532,2005
314,314,534,1547
315,315,535,1538
316,316,538,1552
317,317,539,1746
318,318,540,1721
319,319,542,1763
320,320,544,1545
321,321,545,1588
322,322,549,3446
323,323,550,1631
324,324,553,1753
325,325,554,1768
326,326,557,1558
327,327,558,2018
328,328,559,1568
329,329,560,1576
330,330,563,2123
331,331,564,1565
332,332,565,1812
333,333,566,1567
334,334,568,1858
335,335,569,1571
336,336,571,2038
337,337,572,1573
338,338,574,1575
339,339,579,1979
340,340,581,1582
341,341,582,1583
342,342,584,1793
343,343,585,1788
344,344,586,1609
345,345,589,1632
346,346,590,2687
