Discriminator ID,Birth,Death
0,0.0,0.0,2078.0
1,1.0,1.0,2679.0
2,2.0,2.0,3093.0
3,3.0,3.0,1781.0
4,4.0,4.0,6810.0
5,5.0,5.0,506.0
6,6.0,8.0,1995.0
7,7.0,9.0,2944.0
8,8.0,10.0,1317.0
9,9.0,12.0,3554.0
10,10.0,13.0,649.0
11,11.0,15.0,543.0
12,12.0,16.0,1949.0
13,13.0,18.0,663.0
14,14.0,20.0,24550.0
15,15.0,21.0,522.0
16,16.0,24.0,525.0
17,17.0,25.0,1342.0
18,18.0,28.0,6712.0
19,19.0,36.0,537.0
20,20.0,40.0,541.0
21,21.0,44.0,1564.0
22,22.0,45.0,3148.0
23,23.0,46.0,1328.0
24,24.0,49.0,3708.0
25,25.0,50.0,6474.0
26,26.0,52.0,732.0
27,27.0,53.0,3441.0
28,28.0,54.0,555.0
29,29.0,56.0,599.0
30,30.0,57.0,2402.0
31,31.0,62.0,2809.0
32,32.0,65.0,566.0
33,33.0,72.0,6875.0
34,34.0,73.0,1550.0
35,35.0,75.0,576.0
36,36.0,76.0,577.0
37,37.0,79.0,2459.0
38,38.0,82.0,1307.0
39,39.0,83.0,14384.0
40,40.0,84.0,1006.0
41,41.0,85.0,586.0
42,42.0,89.0,590.0
43,43.0,93.0,4906.0
44,44.0,100.0,628.0
45,45.0,102.0,3198.0
46,46.0,105.0,1502.0
47,47.0,111.0,8000.0
48,48.0,112.0,613.0
49,49.0,119.0,620.0
50,50.0,120.0,1549.0
51,51.0,122.0,623.0
52,52.0,123.0,3430.0
53,53.0,131.0,1700.0
54,54.0,135.0,690.0
55,55.0,150.0,651.0
56,56.0,156.0,1751.0
57,57.0,163.0,4634.0
58,58.0,164.0,1027.0
59,59.0,168.0,1179.0
60,60.0,169.0,3214.0
61,61.0,171.0,672.0
62,62.0,172.0,673.0
63,63.0,174.0,2318.0
64,64.0,184.0,685.0
65,65.0,185.0,4048.0
66,66.0,187.0,1855.0
67,67.0,188.0,3951.0
68,68.0,191.0,729.0
69,69.0,192.0,693.0
70,70.0,193.0,1034.0
71,71.0,195.0,696.0
72,72.0,198.0,699.0
73,73.0,199.0,1483.0
74,74.0,204.0,705.0
75,75.0,210.0,987.0
76,76.0,211.0,712.0
77,77.0,213.0,1023.0
78,78.0,214.0,2620.0
79,79.0,219.0,2303.0
80,80.0,226.0,727.0
81,81.0,227.0,736.0
82,82.0,237.0,2377.0
83,83.0,245.0,998.0
84,84.0,251.0,3355.0
85,85.0,253.0,754.0
86,86.0,258.0,3552.0
87,87.0,269.0,770.0
88,88.0,271.0,772.0
89,89.0,273.0,4854.0
90,90.0,274.0,786.0
91,91.0,282.0,783.0
92,92.0,294.0,795.0
93,93.0,295.0,796.0
94,94.0,299.0,2235.0
95,95.0,301.0,802.0
96,96.0,309.0,2338.0
97,97.0,312.0,2019.0
98,98.0,313.0,814.0
99,99.0,314.0,1558.0
100,100.0,317.0,818.0
101,101.0,318.0,819.0
102,102.0,322.0,1442.0
103,103.0,336.0,837.0
104,104.0,340.0,9346.0
105,105.0,342.0,843.0
106,106.0,349.0,3499.0
107,107.0,350.0,851.0
108,108.0,351.0,922.0
109,109.0,360.0,888.0
110,110.0,366.0,867.0
111,111.0,368.0,2149.0
112,112.0,371.0,872.0
113,113.0,372.0,5976.0
114,114.0,374.0,875.0
115,115.0,377.0,1663.0
116,116.0,384.0,1001.0
117,117.0,385.0,886.0
118,118.0,390.0,4171.0
119,119.0,392.0,893.0
120,120.0,398.0,1530.0
121,121.0,400.0,901.0
122,122.0,402.0,903.0
123,123.0,403.0,904.0
124,124.0,407.0,993.0
125,125.0,412.0,913.0
126,126.0,425.0,926.0
127,127.0,429.0,930.0
128,128.0,440.0,941.0
129,129.0,441.0,1011.0
130,130.0,442.0,1826.0
131,131.0,449.0,2212.0
132,132.0,455.0,956.0
133,133.0,456.0,957.0
134,134.0,461.0,962.0
135,135.0,463.0,964.0
136,136.0,465.0,1042.0
137,137.0,473.0,974.0
138,138.0,475.0,976.0
139,139.0,479.0,980.0
140,140.0,482.0,1540.0
141,141.0,484.0,985.0
142,142.0,496.0,2366.0
143,143.0,498.0,999.0
144,144.0,499.0,1187.0
145,145.0,501.0,1002.0
146,146.0,504.0,1005.0
147,147.0,515.0,1016.0
148,148.0,516.0,1017.0
149,149.0,518.0,1019.0
150,150.0,521.0,1022.0
151,151.0,529.0,1554.0
152,152.0,532.0,1747.0
153,153.0,534.0,1035.0
154,154.0,538.0,1039.0
155,155.0,542.0,2274.0
156,156.0,543.0,1044.0
157,157.0,544.0,1045.0
158,158.0,557.0,1058.0
159,159.0,559.0,1060.0
160,160.0,560.0,9539.0
161,161.0,564.0,2518.0
162,162.0,565.0,2806.0
163,163.0,568.0,1069.0
164,164.0,571.0,1072.0
165,165.0,572.0,7733.0
166,166.0,575.0,1076.0
167,167.0,577.0,1078.0
168,168.0,579.0,1080.0
169,169.0,587.0,1088.0
170,170.0,589.0,1090.0
171,171.0,598.0,1099.0
172,172.0,607.0,3547.0
173,173.0,623.0,4805.0
174,174.0,632.0,1133.0
175,175.0,635.0,1136.0
176,176.0,638.0,1709.0
177,177.0,643.0,1144.0
178,178.0,647.0,1148.0
179,179.0,648.0,1149.0
180,180.0,650.0,1151.0
181,181.0,652.0,2578.0
182,182.0,653.0,1315.0
183,183.0,655.0,1679.0
184,184.0,661.0,1162.0
185,185.0,665.0,1259.0
186,186.0,684.0,1185.0
187,187.0,687.0,3570.0
188,188.0,690.0,2386.0
189,189.0,698.0,1199.0
190,190.0,699.0,1200.0
191,191.0,706.0,1207.0
192,192.0,711.0,1212.0
193,193.0,713.0,1436.0
194,194.0,717.0,1218.0
195,195.0,724.0,2827.0
196,196.0,728.0,1229.0
197,197.0,744.0,1245.0
198,198.0,746.0,1247.0
199,199.0,768.0,1269.0
200,200.0,772.0,1273.0
201,201.0,780.0,1281.0
202,202.0,781.0,1485.0
203,203.0,782.0,1283.0
204,204.0,788.0,1870.0
205,205.0,833.0,1334.0
206,206.0,836.0,2350.0
207,207.0,845.0,1346.0
208,208.0,853.0,3607.0
209,209.0,855.0,10721.0
210,210.0,858.0,2448.0
211,211.0,860.0,1488.0
212,212.0,862.0,1363.0
213,213.0,867.0,1373.0
214,214.0,880.0,2623.0
215,215.0,905.0,1406.0
216,216.0,906.0,2761.0
217,217.0,921.0,1422.0
218,218.0,926.0,1444.0
219,219.0,928.0,1429.0
220,220.0,936.0,3910.0
221,221.0,962.0,1463.0
222,222.0,967.0,1468.0
223,223.0,969.0,1470.0
224,224.0,974.0,1681.0
225,225.0,983.0,1484.0
226,226.0,999.0,1500.0
227,227.0,1002.0,1503.0
228,228.0,1004.0,1505.0
229,229.0,1008.0,1509.0
230,230.0,1018.0,3791.0
231,231.0,1019.0,1791.0
232,232.0,1026.0,1527.0
233,233.0,1028.0,1589.0
234,234.0,1033.0,1534.0
235,235.0,1044.0,1545.0
236,236.0,1047.0,3660.0
237,237.0,1062.0,1563.0
238,238.0,1066.0,1567.0
239,239.0,1068.0,1569.0
240,240.0,1072.0,1573.0
241,241.0,1078.0,1579.0
242,242.0,1079.0,1580.0
243,243.0,1091.0,1592.0
244,244.0,1102.0,1603.0
245,245.0,1114.0,1615.0
246,246.0,1115.0,2029.0
247,247.0,1116.0,1617.0
248,248.0,1126.0,1627.0
249,249.0,1129.0,2392.0
250,250.0,1138.0,1639.0
251,251.0,1139.0,1640.0
252,252.0,1140.0,1641.0
253,253.0,1142.0,2218.0
254,254.0,1143.0,2656.0
255,255.0,1151.0,1652.0
256,256.0,1157.0,1658.0
257,257.0,1163.0,1664.0
258,258.0,1164.0,1665.0
259,259.0,1183.0,1684.0
260,260.0,1187.0,1849.0
261,261.0,1192.0,1693.0
262,262.0,1205.0,3386.0
263,263.0,1206.0,4041.0
264,264.0,1207.0,1708.0
265,265.0,1211.0,5112.0
266,266.0,1215.0,1716.0
267,267.0,1226.0,3262.0
268,268.0,1234.0,3698.0
269,269.0,1237.0,4142.0
270,270.0,1248.0,1749.0
271,271.0,1254.0,1755.0
272,272.0,1260.0,1761.0
273,273.0,1268.0,3524.0
274,274.0,1270.0,1771.0
275,275.0,1287.0,1788.0
276,276.0,1292.0,1793.0
277,277.0,1298.0,1799.0
278,278.0,1302.0,1803.0
279,279.0,1304.0,1805.0
280,280.0,1310.0,1811.0
281,281.0,1315.0,1816.0
282,282.0,1316.0,1817.0
283,283.0,1317.0,1818.0
284,284.0,1320.0,1821.0
285,285.0,1332.0,2403.0
286,286.0,1336.0,1876.0
287,287.0,1337.0,1838.0
288,288.0,1342.0,2174.0
289,289.0,1350.0,2228.0
290,290.0,1370.0,1871.0
291,291.0,1381.0,5455.0
292,292.0,1398.0,1899.0
293,293.0,1400.0,1901.0
294,294.0,1403.0,1904.0
295,295.0,1409.0,1910.0
296,296.0,1411.0,1975.0
297,297.0,1412.0,1913.0
298,298.0,1416.0,1917.0
299,299.0,1419.0,1920.0
300,300.0,1425.0,2009.0
301,301.0,1426.0,1927.0
302,302.0,1427.0,1928.0
303,303.0,1429.0,3006.0
304,304.0,1432.0,1933.0
305,305.0,1434.0,3746.0
306,306.0,1439.0,1940.0
307,307.0,1440.0,1941.0
308,308.0,1453.0,1954.0
309,309.0,1488.0,1989.0
310,310.0,1501.0,2447.0
311,311.0,1503.0,7098.0
312,312.0,1506.0,2007.0
313,313.0,1507.0,2008.0
314,314.0,1516.0,2017.0
315,315.0,1546.0,2047.0
316,316.0,1554.0,2426.0
317,317.0,1556.0,2057.0
318,318.0,1560.0,2061.0
319,319.0,1561.0,2062.0
320,320.0,1567.0,2068.0
321,321.0,1571.0,2152.0
322,322.0,1574.0,3681.0
323,323.0,1576.0,2077.0
324,324.0,1592.0,2093.0
325,325.0,1594.0,2095.0
326,326.0,1598.0,2330.0
327,327.0,1600.0,5429.0
328,328.0,1604.0,2105.0
329,329.0,1607.0,2155.0
330,330.0,1609.0,2110.0
331,331.0,1610.0,6965.0
332,332.0,1618.0,3616.0
333,333.0,1619.0,2279.0
334,334.0,1620.0,2121.0
335,335.0,1626.0,2127.0
336,336.0,1639.0,2140.0
337,337.0,1641.0,2142.0
338,338.0,1643.0,2195.0
339,339.0,1653.0,2154.0
340,340.0,1660.0,4009.0
341,341.0,1672.0,3557.0
342,342.0,1675.0,2176.0
343,343.0,1676.0,2177.0
344,344.0,1679.0,2180.0
345,345.0,1684.0,2185.0
346,346.0,1686.0,2187.0
347,347.0,1689.0,7050.0
348,348.0,1691.0,2192.0
349,349.0,1692.0,3138.0
350,350.0,1704.0,2205.0
351,351.0,1710.0,2371.0
352,352.0,1731.0,3563.0
353,353.0,1735.0,3478.0
354,354.0,1737.0,2238.0
355,355.0,1742.0,2243.0
356,356.0,1755.0,2256.0
357,357.0,1756.0,2257.0
358,358.0,1757.0,2266.0
359,359.0,1761.0,3957.0
360,360.0,1766.0,2267.0
361,361.0,1771.0,2343.0
362,362.0,1776.0,2277.0
363,363.0,1784.0,2285.0
364,364.0,1792.0,2293.0
365,365.0,1793.0,2294.0
366,366.0,1805.0,2306.0
367,367.0,1806.0,2307.0
368,368.0,1808.0,2309.0
369,369.0,1811.0,2312.0
370,370.0,1815.0,5167.0
371,371.0,1821.0,2322.0
372,372.0,1822.0,2323.0
373,373.0,1823.0,2324.0
374,374.0,1828.0,2613.0
375,375.0,1845.0,2346.0
376,376.0,1848.0,2349.0
377,377.0,1866.0,2367.0
378,378.0,1869.0,5456.0
379,379.0,1872.0,2393.0
380,380.0,1874.0,2375.0
381,381.0,1877.0,2538.0
382,382.0,1878.0,2379.0
383,383.0,1879.0,2380.0
384,384.0,1886.0,2428.0
385,385.0,1906.0,2464.0
386,386.0,1908.0,2409.0
387,387.0,1912.0,2978.0
388,388.0,1914.0,47154.0
389,389.0,1920.0,3412.0
390,390.0,1930.0,2431.0
391,391.0,1932.0,3282.0
392,392.0,1949.0,2450.0
393,393.0,1954.0,4398.0
394,394.0,1959.0,2460.0
395,395.0,1966.0,2653.0
396,396.0,1973.0,2474.0
397,397.0,1974.0,2599.0
398,398.0,1977.0,2560.0
399,399.0,1981.0,2482.0
400,400.0,1998.0,2546.0
401,401.0,2002.0,3167.0
402,402.0,2003.0,2504.0
403,403.0,2005.0,2506.0
404,404.0,2010.0,2511.0
405,405.0,2012.0,2513.0
406,406.0,2015.0,2555.0
407,407.0,2019.0,2520.0
408,408.0,2025.0,2541.0
409,409.0,2028.0,2793.0
410,410.0,2029.0,2530.0
411,411.0,2030.0,3223.0
412,412.0,2031.0,2536.0
413,413.0,2036.0,2882.0
414,414.0,2041.0,2542.0
415,415.0,2047.0,2548.0
416,416.0,2053.0,2554.0
417,417.0,2080.0,3171.0
418,418.0,2083.0,2584.0
419,419.0,2092.0,2593.0
420,420.0,2099.0,2600.0
421,421.0,2104.0,2605.0
422,422.0,2105.0,3777.0
423,423.0,2107.0,7044.0
424,424.0,2126.0,2627.0
425,425.0,2129.0,2666.0
426,426.0,2130.0,2631.0
427,427.0,2139.0,2640.0
428,428.0,2142.0,2643.0
429,429.0,2143.0,2644.0
430,430.0,2156.0,3177.0
431,431.0,2164.0,4585.0
432,432.0,2173.0,2674.0
433,433.0,2176.0,2677.0
434,434.0,2177.0,2678.0
435,435.0,2179.0,3097.0
436,436.0,2186.0,2687.0
437,437.0,2189.0,2690.0
438,438.0,2194.0,2695.0
439,439.0,2197.0,3001.0
440,440.0,2204.0,2705.0
441,441.0,2214.0,2715.0
442,442.0,2215.0,5848.0
443,443.0,2223.0,2724.0
444,444.0,2225.0,2726.0
445,445.0,2229.0,2730.0
446,446.0,2236.0,2737.0
447,447.0,2245.0,2746.0
448,448.0,2249.0,6909.0
449,449.0,2253.0,2849.0
450,450.0,2270.0,2771.0
451,451.0,2271.0,2772.0
452,452.0,2300.0,2801.0
453,453.0,2309.0,2810.0
454,454.0,2320.0,4038.0
455,455.0,2324.0,3301.0
456,456.0,2334.0,2835.0
457,457.0,2339.0,3511.0
458,458.0,2353.0,3286.0
459,459.0,2356.0,2857.0
460,460.0,2359.0,2860.0
461,461.0,2368.0,2925.0
