Discriminator ID,Birth,Death
0,0.0,0.0,8780.0
1,1.0,6.0,8724.0
2,2.0,210.0,1960.0
3,3.0,221.0,6231.0
4,4.0,744.0,1746.0
5,5.0,759.0,8764.0
6,6.0,823.0,8578.0
7,7.0,922.0,1923.0
8,8.0,960.0,8723.0
9,9.0,998.0,8580.0
10,10.0,1593.0,2597.0
11,11.0,3581.0,5348.0
12,12.0,3582.0,5349.0
13,13.0,4026.0,5377.0
14,14.0,4049.0,5050.0
15,15.0,4066.0,8730.0
16,16.0,4113.0,5114.0
17,17.0,4201.0,8792.0
18,18.0,4362.0,5387.0
19,19.0,4906.0,5910.0
20,20.0,5447.0,6448.0
21,21.0,6827.0,8624.0
22,22.0,6828.0,8530.0
23,23.0,6866.0,8793.0
24,24.0,7601.0,8603.0
25,25.0,7603.0,8790.0
26,26.0,7607.0,8751.0
27,27.0,7714.0,12488.0
28,28.0,7842.0,11001.0
29,29.0,11488.0,28653.0
30,30.0,11518.0,12900.0
31,31.0,11533.0,40723.0
32,32.0,11580.0,12877.0
33,33.0,11702.0,12881.0
34,34.0,11735.0,12876.0
35,35.0,11787.0,12879.0
36,36.0,11790.0,44048.0
37,37.0,11873.0,12894.0
38,38.0,11884.0,12885.0
39,39.0,11902.0,37348.0
40,40.0,12578.0,13582.0
41,41.0,12840.0,13841.0
42,42.0,14295.0,15296.0
43,43.0,14477.0,15478.0
44,44.0,15096.0,17038.0
45,45.0,15098.0,17040.0
46,46.0,15133.0,17044.0
47,47.0,15648.0,23858.0
48,48.0,15699.0,16700.0
49,49.0,15721.0,17047.0
50,50.0,15722.0,17070.0
51,51.0,16038.0,17068.0
52,52.0,16052.0,17059.0
53,53.0,16064.0,17065.0
54,54.0,16688.0,17690.0
55,55.0,17608.0,18609.0
56,56.0,18693.0,20553.0
57,57.0,18698.0,20585.0
58,58.0,19151.0,37354.0
59,59.0,19229.0,20610.0
60,60.0,19490.0,20611.0
61,61.0,19595.0,20596.0
62,62.0,20354.0,23877.0
63,63.0,21931.0,24258.0
64,64.0,21934.0,24277.0
65,65.0,21963.0,24269.0
66,66.0,22580.0,24275.0
67,67.0,22609.0,24246.0
68,68.0,22680.0,24280.0
69,69.0,22750.0,23751.0
70,70.0,22751.0,23752.0
71,71.0,22752.0,23801.0
72,72.0,22772.0,23773.0
73,73.0,22801.0,24265.0
74,74.0,22814.0,23831.0
75,75.0,22827.0,23830.0
76,76.0,22920.0,33237.0
77,77.0,22950.0,40696.0
78,78.0,23235.0,24236.0
79,79.0,25510.0,28649.0
80,80.0,26506.0,27774.0
81,81.0,26513.0,27724.0
82,82.0,26541.0,27542.0
83,83.0,26565.0,40692.0
84,84.0,26582.0,28094.0
85,85.0,26607.0,27608.0
86,86.0,26633.0,27778.0
87,87.0,26651.0,27767.0
88,88.0,26694.0,27783.0
89,89.0,26757.0,27758.0
90,90.0,26783.0,38082.0
91,91.0,27139.0,28512.0
92,92.0,27337.0,28338.0
93,93.0,27478.0,28634.0
94,94.0,27499.0,28648.0
95,95.0,27505.0,28650.0
96,96.0,29621.0,30622.0
97,97.0,30319.0,31691.0
98,98.0,30814.0,33216.0
99,99.0,31174.0,33110.0
100,100.0,31193.0,33158.0
101,101.0,31617.0,33235.0
102,102.0,31636.0,33174.0
103,103.0,31689.0,32690.0
104,104.0,31698.0,32699.0
105,105.0,31731.0,33224.0
106,106.0,32175.0,33233.0
107,107.0,32201.0,33230.0
108,108.0,34444.0,40726.0
109,109.0,34445.0,37170.0
110,110.0,35368.0,37188.0
111,111.0,35396.0,44034.0
112,112.0,35423.0,36974.0
113,113.0,35479.0,37352.0
114,114.0,35540.0,37345.0
115,115.0,35543.0,37353.0
116,116.0,35971.0,37293.0
117,117.0,36049.0,40729.0
118,118.0,36061.0,44051.0
119,119.0,36226.0,37347.0
120,120.0,39370.0,40458.0
121,121.0,39374.0,40499.0
122,122.0,39393.0,40493.0
123,123.0,39410.0,40498.0
124,124.0,39426.0,40561.0
125,125.0,39439.0,40604.0
126,126.0,39444.0,40584.0
127,127.0,39454.0,40455.0
128,128.0,39461.0,40477.0
129,129.0,39539.0,40706.0
130,130.0,39565.0,40717.0
131,131.0,39568.0,40669.0
132,132.0,39573.0,40574.0
133,133.0,39575.0,40697.0
134,134.0,39729.0,44192.0
135,135.0,40723.0,43121.0
136,136.0,40951.0,43858.0
137,137.0,40954.0,44066.0
138,138.0,41048.0,43836.0
139,139.0,41062.0,43817.0
140,140.0,41066.0,43415.0
141,141.0,41103.0,43406.0
142,142.0,41207.0,44013.0
143,143.0,41235.0,43863.0
144,144.0,41246.0,42430.0
145,145.0,41433.0,43867.0
146,146.0,41544.0,44042.0
147,147.0,41714.0,44054.0
148,148.0,41718.0,42719.0
149,149.0,41849.0,44065.0
150,150.0,41865.0,44017.0
151,151.0,41938.0,43050.0
152,152.0,42057.0,43058.0
153,153.0,42058.0,43081.0
154,154.0,42063.0,43064.0
155,155.0,42081.0,43830.0
156,156.0,42100.0,44068.0
157,157.0,42126.0,43992.0
158,158.0,42299.0,43381.0
159,159.0,42384.0,44060.0
160,160.0,42839.0,43903.0
161,161.0,42995.0,43996.0
162,162.0,43068.0,44171.0
163,163.0,43171.0,44189.0
164,164.0,43187.0,44188.0
165,165.0,43192.0,51755.0
166,166.0,50755.0,51844.0
167,167.0,50783.0,53129.0
168,168.0,50819.0,51947.0
169,169.0,50850.0,51874.0
170,170.0,50853.0,51962.0
171,171.0,50911.0,54531.0
172,172.0,50964.0,54552.0
173,173.0,51157.0,52938.0
174,174.0,51242.0,52959.0
175,175.0,51965.0,54562.0
176,176.0,52143.0,54559.0
177,177.0,52604.0,54501.0
178,178.0,52606.0,54502.0
179,179.0,52634.0,53974.0
180,180.0,52751.0,53771.0
181,181.0,52753.0,53754.0
182,182.0,52829.0,54504.0
183,183.0,52916.0,54530.0
184,184.0,53000.0,54580.0
